NULL-ham                              6
NULL-hip                              6
NULL-ian                              6
NULL-ier-iii                          6
NULL-ii-ire                           6
NULL-ii-s                             6
NULL-ing-s                            6
NULL-is-ise                           6
NULL-km2-m                            6
NULL-lin                              6
NULL-nce                              6
NULL-nd                               6
NULL-ns-s                             6
NULL-nt-r-s-ur                        6
NULL-nt-r-ur-urs-use                  6
NULL-nt-r-use-ux                      6
NULL-ot                               6
NULL-r-urs                            6
NULL-s-sa                             6
NULL-ste                              6
a-ait-ant-e-ent-er-é-ée-és            6
a-ait-e-ent-er                        6
a-ait-ont                             6
a-ant-e-ent-er-es-é-ée-ées-és         6
a-ant-ent-er-é-ée-ées-és              6
a-as-e                                6
a-as-o                                6
a-e-ont                               6
a-ie                                  6
a-ita                                 6
a-na                                  6
a-ne                                  6
a-o-us                                6
ait-ant-e-ent-eur                     6
ant-er-é                              6
ant-oir                               6
ant-é-ée-ées-és                       6
ant-ée                                6
as-es                                 6
ay-ey                                 6
ble-nce                               6
c-s                                   6
ce-ces-t-tes-ts                       6
ce-il                                 6
d-r                                   6
e-ent-er-é-ée-ées-és                  6
e-es-iel                              6
e-es-in                               6
e-es-ion                              6
e-es-on-ons                           6
e-es-ère                              6
e-ine                                 6
e-ium                                 6
e-te                                  6
ed-ion                                6
en-s                                  6
ept-ix                                6
er-ii-v                               6
es-us                                 6
eur-if-ion                            6
eur-if-ion-ive                        6
f-ve-ves                              6
fs-on-ons-ve-ves                      6
g-t                                   6
i-o-os                                6
ino-o                                 6
ire-s                                 6
k-n                                   6
l-le-les-lis-ux                       6
l-s                                   6
lus-s                                 6
n-u                                   6
n-us                                  6
ns-r                                  6
nt-t                                  6
on-que                                6
que-um                                6
r-se                                  6
r-use                                 6
ra-re-se-sit-t-te-tes-ts              6
s-tte                                 6
ser-té                                6
-il--on-NULL                          5
-é-NULL                               5
0-1-2-3-4-5-6                         5
0-1-3                                 5
0-2-7                                 5
0-3-5                                 5
0-4-7                                 5
0-4-8                                 5
0-m                                   5
0km-NULL                              5
1-2-4-5                               5
1-2-7                                 5
1-3-4                                 5
1-5-6                                 5
17-NULL                               5
2-3-6                                 5
3-4-7                                 5
3-7-8                                 5
4-5-6-7                               5
4-6-7                                 5
4-6-9                                 5
5-6-7                                 5
5-NULL                                5
NULL-a-ait-ent                        5
NULL-a-b-s                            5
NULL-a-e-es-s                         5
NULL-a-i                              5
NULL-age-s                            5
NULL-al-ale                           5
NULL-al-ale-aux                       5
NULL-am                               5
NULL-ar                               5
NULL-au-aux-s                         5
NULL-aux                              5
NULL-co                               5
NULL-der                              5
NULL-e-es-ie-s                        5
NULL-e-us                             5
NULL-i-iii                            5
NULL-ic                               5
NULL-ie-ies-s                         5
NULL-il                               5
NULL-im                               5
NULL-ja                               5
NULL-k-s                              5
NULL-km-km2                           5
NULL-l-lle-ls-nt-r                    5
NULL-lla-s                            5
NULL-lo                               5
NULL-m-mm                             5
NULL-n-ng                             5
NULL-nce-nt                           5
NULL-nel                              5
NULL-nt-r-ra-s-ur-urs                 5
NULL-nt-z                             5
NULL-né-s                             5
NULL-née-s                            5
NULL-o-s                              5
NULL-r-rie                            5
NULL-r-s-urs                          5
NULL-r-tte                            5
NULL-ra-s                             5
NULL-re-res                           5
NULL-ris                              5
NULL-s-ton                            5
NULL-s-ure                            5
NULL-s-urs                            5
NULL-sme                              5
NULL-th                               5
NULL-ués                              5
NULL-w                                5
NULL-ya                               5
a-ait-ant-e-ent-er-era-es-é-ée-ées-és 5
a-ait-ant-e-ent-er-ons-é-ée-ées-és    5
a-ait-ant-ent-er-é-ée-ées-és          5
a-ait-er                              5
a-ait-er-é-ée-ées-és                  5
a-ant-e-ent                           5
a-ant-e-er                            5
a-c                                   5
a-e-en-ens                            5
a-er-é                                5
a-et                                  5
a-ia                                  5
a-ik                                  5
a-is                                  5
a-la                                  5
a-n                                   5
a-que                                 5
a-ya                                  5
a-á                                   5
ain-e-es                              5
ais-e-es                              5
ait-ant-it                            5
al-ale-e-es                           5
al-e                                  5
ale-e                                 5
ale-e-es                              5
an-i                                  5
an-o                                  5
ant-e-er-é-ée-ées-és                  5
ant-é                                 5
as-e-es                               5
ble-nt                                5
ca-s                                  5
ce-cer-ça                             5
ce-ces-x                              5
ce-ça                                 5
ch-tch                                5
ché-que                               5
d-x                                   5
dés-ens                               5
e-er-é                                5
e-er-é-ée                             5
e-es-iat                              5
e-es-ine                              5
e-es-ois                              5
e-es-y                                5
e-es-é-ées-és                         5
e-g                                   5
e-ide                                 5
e-ie-ies                              5
e-l                                   5
e-le                                  5
end-is-ise-it                         5
ent-it                                5
ent-é                                 5
ent-é-ée-ées-és                       5
er-i-v                                5
er-ier                                5
er-ing                                5
er-ité                                5
er-ler                                5
er-re-res                             5
er-é-ée                               5
era-ère                               5
es-ie-ies                             5
es-ien                                5
es-ois                                5
es-ées                                5
est-sud                               5
eur-if-ifs-ion                        5
eur-or                                5
f-fs-on-ons-ve                        5
f-fs-ve                               5
f-on-ve                               5
ff-v                                  5
